Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Event Type,Location,Dining Option,Customer ID,Customer Reference ID,Unit,Count,Itemization Type,Fulfillment Note,Token
7/7/2024,11:36:43,Arizona,Beverage,Mad Muscle,1,Regular,,,$6.50 ,($1.00),$5.50 ,$0.52 ,5nOTsqVSeEjOh1hguD0d1SxeV,hOJR68JX0SkNTPB9KUYEL8wCuaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,NWTHWPN4SDIJMGURR7QNVYXA
7/7/2024,11:03:27,Arizona,None,Chai Tea,1,Regular,,"Large, Iced",$5.50 ,$0.00 ,$5.50 ,$0.52 ,v28JgFpBYcXaMIkOv5gRbT2eV,hQCNSE1rpFCw9R57f3Ajjt7kvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,BZQT88SA9CWFWQTD16VHT275RW,,ea,1,Physical Item,,LUVMKNA7JZLYTRIML5SAZU4E
7/7/2024,11:03:27,Arizona,None,pink elixir,1,Regular,,Large,$6.00 ,$0.00 ,$6.00 ,$0.57 ,v28JgFpBYcXaMIkOv5gRbT2eV,hQCNSE1rpFCw9R57f3Ajjt7kvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,BZQT88SA9CWFWQTD16VHT275RW,,ea,1,Physical Item,,LSGRIIFUTAUKRO3DHGTF7OQQ
7/7/2024,11:03:27,Arizona,None,caramel cold brew,1,Regular,,Large,$6.00 ,$0.00 ,$6.00 ,$0.57 ,v28JgFpBYcXaMIkOv5gRbT2eV,hQCNSE1rpFCw9R57f3Ajjt7kvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,BZQT88SA9CWFWQTD16VHT275RW,,ea,1,Physical Item,,MI22GVF4CT7MBTYYEIOZOY3Q
7/7/2024,11:01:01,Arizona,None,caramel cold brew,1,Regular,,"Small, Almond Milk",$5.50 ,$0.00 ,$5.50 ,$0.52 ,9R8wyNh5Fdjjr2k4tVdjte6eV,VcFUXA5ktYI3B6DDyRMXVGX9vaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,9WZXXYDNB7SG0EMRHD1SVFJZCR,,ea,1,Physical Item,,MI22GVF4CT7MBTYYEIOZOY3Q
7/7/2024,10:44:50,Arizona,None,pink elixir,1,Regular,,Large,$6.00 ,$0.00 ,$6.00 ,$0.57 ,zIUpSSuzjSgLOVYoE2BIzokeV,fXQyW4XjdnulReCOAmnoCPkIvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,PWDEV20CM4MG060SK0AG5PS6XR,,ea,1,Physical Item,,LSGRIIFUTAUKRO3DHGTF7OQQ
7/7/2024,10:44:50,Arizona,None,Latte2,1,Regular,,"Large, Iced, Oat Milk, Vanilla",$6.00 ,$0.00 ,$6.00 ,$0.57 ,zIUpSSuzjSgLOVYoE2BIzokeV,fXQyW4XjdnulReCOAmnoCPkIvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,PWDEV20CM4MG060SK0AG5PS6XR,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,10:37:09,Arizona,None,Latte2,1,Regular,,"Small, Iced, White Chocolate",$4.50 ,$0.00 ,$4.50 ,$0.43 ,5Z1KanSqosc6bdgxpaSMREkeV,l4rmRSSXqXQ2uRYZCBZmAF42vaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,10:19:54,Arizona,None,Latte2,2,Regular,,"Large, Hot",$11.00 ,$0.00 ,$11.00 ,$1.04 ,hT2f3Gbi8GdcbMvhVbeP4mqeV,HHAXMwNQECH071P8so76uq40vaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,VWA8D310N2DNFKGPK4VHQRN78C,,ea,2,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,10:05:34,Arizona,None,Americano,2,Regular,,"Large, Hot, Cold Foam",$12.00 ,$0.00 ,$12.00 ,$1.14 ,fgpnMeLQRqWE9Ebi8GNi9qneV,vhJo5Bimd6FCw9b2oKb0nB9IvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,AMABFFSNP5NBG5K99P14MMMSEG,,ea,2,Physical Item,,PCITWDQ7OJ2UVHM3FMAGZ2JG
7/7/2024,9:56:43,Arizona,None,Latte2,1,Regular,,"Large, Iced",$5.50 ,$0.00 ,$5.50 ,$0.52 ,95Sv3MXt7uw7hKoTVvPPgH9eV,xAGfrO34HciddFDDOnhCIjDUuaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,8SFJ8YSB3JG434MF34E6C1YAPC,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,9:54:14,Arizona,None,Latte2,1,Regular,,"Small, Iced, Oat Milk, White Chocolate",$5.00 ,$0.00 ,$5.00 ,$0.48 ,BrC9mJtqBjznnAFrBQvdlH9eV,tcLQ2qfbmZgj9Y01QWt5ddjmvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,146ZZNP0D3F7GS0KCB4GG121M8,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,9:52:23,Arizona,Coffee & Tea,dirty filthy little chai,1,Regular,,Small,$4.50 ,$0.00 ,$4.50 ,$0.43 ,nqSaUQUoYJRTUmdKemYqd9zeV,PdDowf0Mt7nJ768kFCIPFRvMvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,DP2V5GQX6QUNBDKRQRRT25RZ
7/7/2024,9:28:24,Arizona,None,Latte2,1,Regular,,"Small, Iced, White Chocolate",$4.50 ,$0.00 ,$4.50 ,$0.43 ,ppFuvhGMEG9bmjhHkiu6GIieV,3dT1Gi29jEKccD3oXGPcn1aBvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,9:28:24,Arizona,None,Matcha Latte,1,Regular,,"Small, Iced",$4.50 ,$0.00 ,$4.50 ,$0.43 ,ppFuvhGMEG9bmjhHkiu6GIieV,3dT1Gi29jEKccD3oXGPcn1aBvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,GRUMSY5AQAJREUZQMJ4RXFL2
7/7/2024,9:28:24,Arizona,None,green tea peach lemonade,1,Regular,,Large,$5.50 ,$0.00 ,$5.50 ,$0.52 ,ppFuvhGMEG9bmjhHkiu6GIieV,3dT1Gi29jEKccD3oXGPcn1aBvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,FDCIVFQP5RQIHINBBRFI5FO5
7/7/2024,9:14:56,Arizona,None,Macchiato,1,Regular,,"Large, Iced, Caramel",$5.50 ,$0.00 ,$5.50 ,$0.52 ,xhlTkrSnCiDDXZoCJ7CoqZ0eV,1UDjIsoa4TTLzRcOgsSnEAT9uaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,7JKJHLXFJB5N2EU4RATCSK2A
7/7/2024,9:14:56,Arizona,Beverage,Cold Brew,1,Regular,,"Large, Oat Milk, SF Caramel, Add Shot",$6.50 ,$0.00 ,$6.50 ,$0.62 ,xhlTkrSnCiDDXZoCJ7CoqZ0eV,1UDjIsoa4TTLzRcOgsSnEAT9uaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,TXCJ6YUWPBESEYC77LPODDPZ
7/7/2024,9:14:56,Arizona,None,caramel cold brew,1,Regular,,Large,$6.00 ,$0.00 ,$6.00 ,$0.57 ,xhlTkrSnCiDDXZoCJ7CoqZ0eV,1UDjIsoa4TTLzRcOgsSnEAT9uaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,MI22GVF4CT7MBTYYEIOZOY3Q
7/7/2024,9:14:56,Arizona,None,Latte2,1,Regular,,"Small, Iced",$4.50 ,$0.00 ,$4.50 ,$0.43 ,xhlTkrSnCiDDXZoCJ7CoqZ0eV,1UDjIsoa4TTLzRcOgsSnEAT9uaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,8:59:14,Arizona,None,Latte2,1,Regular,,"Small, Iced",$4.50 ,$0.00 ,$4.50 ,$0.43 ,niIv0gDuZZhvF5IXE4H4Gc9eV,Rkea1OuLGN5fO3FdhEbDhQJ5uaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,TAVQ8VZWC5ZZB1MTKPYAFPQ768,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,8:51:22,Arizona,Beverage,Frapp,1,Regular,,"Large, White Chocolate",$6.00 ,$0.00 ,$6.00 ,$0.57 ,B7AulnlrEWButHlkK7m9KnreV,r37jjYQDn2YvjtDR9CfvJWgRuaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,7ZGPZT39ZFKXWRQ002VDVNG9TC,,ea,1,Physical Item,,DF4XTOX5LRFIBOLGNCC7SUHB
7/7/2024,8:44:20,Arizona,None,Latte2,2,Regular,,"Large, Iced",$11.00 ,($0.79),$10.21 ,$0.97 ,JvMcBKm4rBe9lKKebOVwwHkeV,f7uOrdtUREOmYnBOTsuxLIg5uaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,PPEKZP3Y19V0XQSABG428GAQBC,,ea,2,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,8:44:20,Arizona,None,Custom Amount,1,,,,$3.00 ,($0.21),$2.79 ,$0.00 ,JvMcBKm4rBe9lKKebOVwwHkeV,f7uOrdtUREOmYnBOTsuxLIg5uaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,PPEKZP3Y19V0XQSABG428GAQBC,,ea,1,,,
7/7/2024,8:38:39,Arizona,None,Latte2,1,Regular,,"Small, Hot, Vanilla",$4.50 ,$0.00 ,$4.50 ,$0.43 ,NF4BX6JPOsWjEftaMFUTUzpeV,BSxYkFqJxyfVjStBIUFTokPHvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,8:38:39,Arizona,None,Latte2,1,Regular,,"Large, Iced",$5.50 ,$0.00 ,$5.50 ,$0.52 ,NF4BX6JPOsWjEftaMFUTUzpeV,BSxYkFqJxyfVjStBIUFTokPHvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,8:34:38,Arizona,None,Latte2,1,Regular,,"Large, Iced, Almond Milk",$6.00 ,$0.00 ,$6.00 ,$0.57 ,JVj8s84WxWWxCCRb5khxcmjeV,NsttmZbuXj4SwrFPbPslkZCHvaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,8:16:11,Arizona,None,Matcha Monk,2,Regular,,"Large, Hot",$12.00 ,$0.00 ,$12.00 ,$1.14 ,vgrMF0Qgx4Wj6a975VsgpNoeV,9yw5DafSS60fmzRjDwO5cPU9vaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,1WHMFTD3QCTJSRXYA4K4M6PW9G,,ea,2,Physical Item,,CWT4TOXSPOTORMC2XRE54AXR
7/7/2024,8:16:11,Arizona,Beverage,Cold Brew,1,Regular,,"Small, Cold Foam",$5.00 ,$0.00 ,$5.00 ,$0.48 ,vgrMF0Qgx4Wj6a975VsgpNoeV,9yw5DafSS60fmzRjDwO5cPU9vaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,1WHMFTD3QCTJSRXYA4K4M6PW9G,,ea,1,Physical Item,,TXCJ6YUWPBESEYC77LPODDPZ
7/7/2024,8:16:11,Arizona,None,Latte2,1,Regular,,"Large, Hot",$5.50 ,$0.00 ,$5.50 ,$0.52 ,vgrMF0Qgx4Wj6a975VsgpNoeV,9yw5DafSS60fmzRjDwO5cPU9vaB,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,1WHMFTD3QCTJSRXYA4K4M6PW9G,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
7/7/2024,8:05:51,Arizona,None,Americano,2,Regular,,"Large, Iced",$11.00 ,$0.00 ,$11.00 ,$1.04 ,bhW3HzPdiW9cPEeoflx9dO0dAzaZY,7loGOWzrxhoZknPDqQAMUYmyZUHZY,Mads Iphone,,Payment,"A Lovely Mess Company, LLC",For Here,DQYR9BTR6WTQ71KK3M88EE9P4M,,ea,2,Physical Item,,PCITWDQ7OJ2UVHM3FMAGZ2JG
6/30/2024,11:15:50,Arizona,None,Latte2,1,Regular,,"Small, Iced, White Chocolate",$4.50 ,$0.00 ,$4.50 ,$0.43 ,JwUCljxyYKzIEvpOrpphcLjleyIZY,H5xrCJbimyuXgD9bzHriewkRxyIZY,Goth Girl iPad,,Payment,"A Lovely Mess Company, LLC",For Here,1WYWWWAVNV95V5GR72M2SEJE7C,,ea,1,Physical Item,,JVLCG2CV3MAE3X4HPZ6LOND6
